Order_ID,Order_Date,Category,Segment,Region,Quantity,Sales,Discount,Profit
10001,2024-01-01,Technology,Home Office,West,9.0,764.65,0.03,72.58
10002,2024-01-02,Furniture,Home Office,South,50.0,7634.64,0.01,183.93
10003,2024-01-03,Technology,Home Office,East,2.0,819.86,0.41,13.21
10004,2024-01-04,Technology,Home Office,South,5.0,912.94,0.26,9.8
10005,2024-01-05,Furniture,Consumer,East,4.0,64.39,0.39,0.31
10006,2024-01-06,Furniture,Home Office,Central,8.0,722.94,0.12,60.9
10007,2024-01-07,Technology,Corporate,East,2.0,1447.07,0.17,69.89
10008,2024-01-08,Office Supplies,Corporate,Central,6.0,802.6,0.02,197.41
10009,2024-01-09,Technology,Home Office,South,5.0,1032.44,0.48,80.0
10010,2024-01-10,Technology,Home Office,Central,2.0,502.2,0.33,39.42
10011,2024-01-11,Technology,Corporate,South,1.0,1172.29,0.47,-102.85
10012,2024-01-12,Technology,Corporate,West,8.0,1170.74,0.13,342.13
10013,2024-01-13,Furniture,Consumer,West,2.0,805.88,0.31,-30.23
10014,2024-01-14,Technology,Corporate,West,7.0,1465.22,0.34,-171.41
10015,2024-01-15,Office Supplies,Corporate,Central,9.0,232.05,0.16,34.44
10016,2024-01-16,Furniture,Home Office,West,9.0,74.57,0.42,8.79
10017,2024-01-17,Office Supplies,Corporate,East,8.0,1166.73,0.47,42.95
10018,2024-01-18,Office Supplies,Consumer,South,9.0,1220.38,0.44,48.8
10019,2024-01-19,Office Supplies,Corporate,South,2.0,224.3,0.37,45.6
10020,2024-01-20,Office Supplies,Home Office,East,6.0,435.1,0.14,-26.95
10021,2024-01-21,Furniture,Home Office,Central,4.0,75.45,0.14,16.53
10022,2024-01-22,Furniture,Corporate,Central,4.0,475.3,0.48,67.46
10023,2024-01-23,Office Supplies,Home Office,South,5.0,1171.06,0.01,45.13
10024,2024-01-24,Office Supplies,Consumer,West,3.0,801.04,0.36,44.95
10025,2024-01-25,Furniture,Consumer,Central,1.0,554.74,0.35,-19.14
10026,2024-01-26,Furniture,Corporate,Central,,589.02,0.31,111.0
10027,2024-01-27,Furniture,Corporate,East,5.0,51.96,0.5,4.2
10028,2024-01-28,Technology,Corporate,East,3.0,484.71,0.16,-2.72
10029,2024-01-29,Technology,Home Office,West,7.0,987.37,0.17,116.73
10030,2024-01-30,Technology,Consumer,Central,7.0,1462.58,0.04,435.97
10031,2024-01-31,Office Supplies,Consumer,Central,1.0,1278.24,0.22,58.63
10032,2024-02-01,Technology,Home Office,East,9.0,84.21,0.13,22.26
10033,2024-02-02,Office Supplies,Consumer,Central,2.0,1352.91,0.17,7.11
10034,2024-02-03,Office Supplies,Corporate,South,5.0,1185.64,0.42,-148.64
10035,2024-02-04,Technology,Corporate,East,5.0,1181.55,0.47,-68.64
10036,2024-02-05,Office Supplies,Corporate,West,8.0,714.09,0.09,27.43
10037,2024-02-06,Technology,Consumer,East,8.0,627.11,0.19,-32.09
10038,2024-02-07,Technology,Corporate,Central,7.0,489.23,0.46,-73.33
10039,2024-02-08,Furniture,Home Office,West,7.0,145.26,0.03,38.02
10040,2024-02-09,Technology,Home Office,East,6.0,380.94,0.05,87.52
10041,2024-02-10,Furniture,Consumer,South,6.0,407.58,0.08,75.01
