Order_ID,Order_Date,Category,Segment,Region,Quantity,Sales,Discount,Profit,Profit_Margin,Discount_Amount,Sales_per_Quantity
10001,2024-01-01,Technology,Home Office,West,9.0,764.65,0.03,72.58,0.0949192440986072,22.9395,84.96111111111111
10002,2024-01-02,Furniture,Home Office,South,13.0,2229.615,0.01,183.93,0.0824940628763262,22.296149999999997,171.50884615384615
10003,2024-01-03,Technology,Home Office,East,2.0,819.86,0.41,13.21,0.016112507013392532,336.14259999999996,409.93
10004,2024-01-04,Technology,Home Office,South,5.0,912.94,0.26,9.8,0.010734549915657109,237.36440000000002,182.58800000000002
10005,2024-01-05,Furniture,Consumer,East,4.0,64.39,0.39,0.31,0.004814412175803696,25.1121,16.0975
10006,2024-01-06,Furniture,Home Office,Central,8.0,722.94,0.12,60.9,0.08423935596315046,86.75280000000001,90.3675
10007,2024-01-07,Technology,Corporate,East,2.0,1447.07,0.17,69.89,0.04829759444947377,246.0019,723.535
10008,2024-01-08,Office Supplies,Corporate,Central,6.0,802.6,0.02,197.41,0.24596311986045352,16.052,133.76666666666668
10009,2024-01-09,Technology,Home Office,South,5.0,1032.44,0.48,80.0,0.0774863430320406,495.57120000000003,206.488
10010,2024-01-10,Technology,Home Office,Central,2.0,502.2,0.33,39.42,0.07849462365591399,165.726,251.1
10011,2024-01-11,Technology,Corporate,South,1.0,1172.29,0.47,-102.85,-0.08773426370607955,550.9762999999999,1172.29
10012,2024-01-12,Technology,Corporate,West,8.0,1170.74,0.13,328.96999999999997,0.28099321796470605,152.1962,146.3425
10013,2024-01-13,Furniture,Consumer,West,2.0,805.88,0.31,-30.23,-0.03751178835558644,249.8228,402.94
10014,2024-01-14,Technology,Corporate,West,7.0,1465.22,0.34,-171.41,-0.11698584512905912,498.17480000000006,209.31714285714287
10015,2024-01-15,Office Supplies,Corporate,Central,9.0,232.05,0.16,34.44,0.14841628959276015,37.128,25.783333333333335
10016,2024-01-16,Furniture,Home Office,West,9.0,74.57,0.42,8.79,0.11787582137588842,31.319399999999995,8.285555555555554
10017,2024-01-17,Office Supplies,Corporate,East,8.0,1166.73,0.47,42.95,0.036812287332973356,548.3631,145.84125
10018,2024-01-18,Office Supplies,Consumer,South,9.0,1220.38,0.44,48.8,0.03998754486307543,536.9672,135.5977777777778
10019,2024-01-19,Office Supplies,Corporate,South,2.0,224.3,0.37,45.6,0.20329915292019615,82.991,112.15
10020,2024-01-20,Office Supplies,Home Office,East,6.0,435.1,0.14,-26.95,-0.06193978395771087,60.91400000000001,72.51666666666667
10021,2024-01-21,Furniture,Home Office,Central,4.0,75.45,0.14,16.53,0.2190854870775348,10.563,18.8625
10022,2024-01-22,Furniture,Corporate,Central,4.0,475.3,0.48,67.46,0.1419314117399537,228.144,118.825
10023,2024-01-23,Office Supplies,Home Office,South,5.0,1171.06,0.01,45.13,0.0385377350434649,11.7106,234.212
10024,2024-01-24,Office Supplies,Consumer,West,3.0,801.04,0.36,44.95,0.05611455108359134,288.3744,267.0133333333333
10025,2024-01-25,Furniture,Consumer,Central,1.0,554.74,0.35,-19.14,-0.034502649890038574,194.159,554.74
10026,2024-01-26,Furniture,Corporate,Central,5.0,589.02,0.31,111.0,0.18844860955485382,182.59619999999998,117.804
10027,2024-01-27,Furniture,Corporate,East,5.0,51.96,0.5,4.2,0.08083140877598152,25.98,10.392
10028,2024-01-28,Technology,Corporate,East,3.0,484.71,0.16,-2.72,-0.005611602814053765,77.5536,161.57
10029,2024-01-29,Technology,Home Office,West,7.0,987.37,0.17,116.73,0.11822315849175082,167.8529,141.05285714285714
10030,2024-01-30,Technology,Consumer,Central,7.0,1462.58,0.04,328.96999999999997,0.22492444857717184,58.5032,208.94
10031,2024-01-31,Office Supplies,Consumer,Central,1.0,1278.24,0.22,58.63,0.04586775566403806,281.2128,1278.24
10032,2024-02-01,Technology,Home Office,East,9.0,84.21,0.13,22.26,0.26433915211970077,10.9473,9.356666666666666
10033,2024-02-02,Office Supplies,Consumer,Central,2.0,1352.91,0.17,7.11,0.005255338492582655,229.99470000000002,676.455
10034,2024-02-03,Office Supplies,Corporate,South,5.0,1185.64,0.42,-148.64,-0.12536689045578758,497.96880000000004,237.12800000000001
10035,2024-02-04,Technology,Corporate,East,5.0,1181.55,0.47,-68.64,-0.05809318268376286,555.3285,236.31
10036,2024-02-05,Office Supplies,Corporate,West,8.0,714.09,0.09,27.43,0.03841252503185873,64.2681,89.26125
10037,2024-02-06,Technology,Consumer,East,8.0,627.11,0.19,-32.09,-0.05117124587392962,119.15090000000001,78.38875
10038,2024-02-07,Technology,Corporate,Central,7.0,489.23,0.46,-73.33,-0.14988860045377428,225.0458,69.89
10039,2024-02-08,Furniture,Home Office,West,7.0,145.26,0.03,38.02,0.261737574005232,4.357799999999999,20.75142857142857
10040,2024-02-09,Technology,Home Office,East,6.0,380.94,0.05,87.52,0.22974746679267075,19.047,63.49
10041,2024-02-10,Furniture,Consumer,South,6.0,407.58,0.08,75.01,0.18403748957259927,32.6064,67.92999999999999
10042,2024-02-11,Technology,Home Office,South,9.0,751.91,0.3,-56.0,-0.07447699857695735,225.57299999999998,83.54555555555555
10043,2024-02-12,Technology,Home Office,East,13.0,2229.615,0.08,-108.66,-0.04873487126701247,178.36919999999998,171.50884615384615
10044,2024-02-13,Furniture,Consumer,South,2.0,737.02,0.48,-88.13,-0.11957613090553852,353.76959999999997,368.51
10045,2024-02-14,Furniture,Corporate,South,2.0,133.87,0.22,23.54,0.17584223500410845,29.4514,66.935
10046,2024-02-15,Technology,Corporate,South,5.0,1438.8,0.25,328.96999999999997,0.22864192382541004,359.7,287.76
10047,2024-02-16,Office Supplies,Corporate,West,4.0,1416.95,0.12,61.98,0.04374183986732065,170.034,354.2375
10048,2024-02-17,Furniture,Consumer,South,2.0,1188.52,0.24,-114.56,-0.09638878605324269,285.2448,594.26
10049,2024-02-18,Office Supplies,Home Office,South,3.0,1487.43,0.33,119.85,0.08057522034650369,490.85190000000006,495.81
10050,2024-02-19,Office Supplies,Corporate,South,7.0,839.5,0.38,5.85,0.006968433591423466,319.01,119.92857142857143
10051,2024-02-20,Office Supplies,Corporate,West,8.0,1446.01,0.38,27.0,0.0186720700410094,549.4838,180.75125
10052,2024-02-21,Furniture,Consumer,East,6.0,159.63,0.29,20.69,0.12961222827789265,46.292699999999996,26.605
