Customer_ID,Age,Annual_Income,Spending_Score,Total_Purchases,Average_Order_Value,Total_Spending,Purchase_Frequency,Website_Visits,App_Visits,Email_Opens,Discount_Usage,Returns_Count,Customer_Satisfaction,Days_Since_Last_Purchase,Loyalty_Points,Product_Categories,Online_Purchases,Offline_Purchases,Mobile_Purchases,Coupon_Usage,Support_Calls,Referral_Count,Social_Media_Interactions,Cluster
CUST00001,56,123186.0,85.0,49,620.49,30201.98,18.67,66,109,68,30,2,3.94,73,8644,1,20,5,49,14,18,1,144,1
CUST00002,69,52674.0,2.0,46,455.75,8318.35,20.22,31,107,13,16,11,2.95,328,42378,12,4,5,70,3,5,12,122,1
CUST00003,46,64271.0,91.0,62,1120.85,11843.88,21.2,115,145,66,8,8,4.25,167,8142,14,34,51,79,5,14,6,158,0
CUST00004,32,91688.0,73.0,8,996.46,1380.65,10.18,26,113,22,44,14,4.82,168,31644,8,67,14,30,15,6,5,137,1
CUST00005,60,129076.0,65.0,43,842.71,41780.37,1.76,29,98,93,32,10,4.7,54,33521,7,47,67,50,25,11,6,69,1
CUST00006,25,19062.0,75.0,20,862.91,48739.59,10.35,78,141,60,33,4,4.64,259,11564,14,79,56,26,36,15,10,102,1
CUST00007,38,68448.0,67.0,97,564.83,6945.88,17.01,25,142,22,44,8,3.05,111,39619,8,61,55,59,22,8,3,101,1
CUST00008,56,113462.0,52.0,90,1106.77,11727.47,11.53,48,139,26,23,8,2.44,232,5104,13,34,6,32,12,19,13,164,0
CUST00009,36,65915.0,62.0,39,839.62,43446.79,18.85,65,28,53,8,5,2.86,161,27299,4,69,50,52,16,4,13,63,0
CUST00010,40,22632.0,23.0,85,880.2,46337.9,9.25,67,42,9,6,10,3.76,352,47958,6,20,57,71,26,10,4,157,1
CUST00011,28,122592.0,26.0,49,1036.8,21097.44,16.05,90,99,88,15,0,4.54,327,13421,13,79,63,32,21,1,5,161,0
CUST00012,28,127779.0,68.0,64,343.4,2721.0,5.07,146,61,76,18,9,1.83,19,23211,3,38,25,40,36,15,8,17,0
CUST00013,41,126099.0,82.0,62,972.34,2161.71,18.86,137,123,15,38,6,4.67,290,11202,11,33,57,18,18,3,1,62,0
CUST00014,53,25561.0,55.0,54,250.38,28782.7,13.87,38,64,40,5,13,4.26,50,43871,13,14,30,40,38,4,10,48,1
