Feature,Importance
Amount,0.4744951080493201
Time,0.26811848512413416
Transaction_Type_Online,0.038212197238068575
Transaction_Type_Bank Transfer,0.03584669560085603
Transaction_Type_POS,0.03523718777230827
Transaction_Type_Mobile Payment,0.033850026505286825
Location_Pune,0.021174952340745425
Location_Delhi,0.01856573511435721
Location_Hyderabad,0.017723782118244522
Location_Nagpur,0.015943153892879935
Location_Mumbai,0.014100093866098753
Location_Bengaluru,0.013525339969106497
Location_Nashik,0.013207242408593705
