Transaction_ID,Amount,Time,Location,Transaction_Type,Fraud
TXN100000,1802.11,1383,Nagpur,Mobile Payment,0
TXN100001,955.02,384,Hyderabad,Bank Transfer,0
TXN100002,7595.79,55,Hyderabad,Bank Transfer,1
TXN100003,5029.27,117,Bengaluru,POS,0
TXN100004,867.7,899,Mumbai,Bank Transfer,0
TXN100005,867.71,1276,Hyderabad,Bank Transfer,0
TXN100006,5319.92,797,Delhi,Bank Transfer,0
TXN100007,2362.4,779,Hyderabad,ATM,0
TXN100008,685.76,1015,Nashik,Online,0
TXN100009,1886.65,802,Delhi,POS,0
TXN100010,689.92,844,Mumbai,POS,0
TXN100011,688.33,1203,Pune,ATM,0
TXN100012,1396.83,1438,Pune,Online,0
TXN100013,161.86,1258,Delhi,Online,0
TXN100014,195.41,854,Delhi,ATM,0
TXN100015,624.98,707,Nagpur,Mobile Payment,0
TXN100016,398.29,1103,Mumbai,Mobile Payment,0
TXN100017,1501.54,21,Nagpur,Online,0
TXN100018,442.29,842,Nashik,Mobile Payment,0
TXN100019,267.12,1116,Bengaluru,Mobile Payment,0
TXN100020,4748.81,191,Pune,Mobile Payment,0
TXN100021,875.0,1018,Hyderabad,Online,0
TXN100022,1173.24,1126,Hyderabad,Mobile Payment,0
TXN100023,263.82,395,Aurangabad,POS,0
TXN100024,636.27,1030,Aurangabad,Online,0
TXN100025,1225.28,639,Mumbai,ATM,0
TXN100026,346.89,1018,Hyderabad,Mobile Payment,0
TXN100027,1596.71,566,Mumbai,Bank Transfer,0
TXN100028,601.46,230,Aurangabad,Online,0
TXN100029,819.18,873,Mumbai,ATM,0
TXN100030,600.82,573,Pune,POS,0
TXN100031,6990.3,239,Nashik,ATM,0
TXN100032,1081.93,89,Nashik,Mobile Payment,0
TXN100033,380.81,231,Hyderabad,Bank Transfer,0
TXN100034,2496.25,456,Nagpur,Mobile Payment,0
TXN100035,323.49,232,Pune,ATM,0
TXN100036,1351.36,353,Bengaluru,Online,0
TXN100037,154.52,1004,Mumbai,Bank Transfer,0
TXN100038,290.56,1356,Mumbai,Bank Transfer,0
TXN100039,1335.23,438,Hyderabad,ATM,0
TXN100040,2294.95,1398,Bengaluru,Mobile Payment,0
TXN100041,1301.62,1315,Nagpur,ATM,0
TXN100042,976.87,344,Nagpur,Bank Transfer,0
TXN100043,811.51,663,Mumbai,ATM,0
TXN100044,250.0,656,Mumbai,Bank Transfer,0
TXN100045,533.87,129,Bengaluru,Mobile Payment,0
TXN100046,691.84,140,Hyderabad,Online,0
TXN100047,3156.19,414,Pune,Online,0
TXN100048,1546.3,1116,Bengaluru,ATM,0
TXN100049,188.1,625,Nagpur,Bank Transfer,0
TXN100050,1516.38,283,Bengaluru,Online,0
TXN100051,746.14,222,Bengaluru,Bank Transfer,0
TXN100052,557.29,743,Bengaluru,Mobile Payment,0
TXN100053,2021.66,462,Pune,ATM,0
TXN100054,3074.81,1299,Delhi,Bank Transfer,0
TXN100055,2782.99,1163,Mumbai,ATM,0
TXN100056,473.8,356,Aurangabad,Bank Transfer,0
TXN100057,804.96,1046,Hyderabad,Bank Transfer,0
TXN100058,1527.31,1293,Bengaluru,Mobile Payment,0
TXN100059,2908.94,858,Hyderabad,ATM,0
TXN100060,1165.3,664,Aurangabad,POS,1
TXN100061,910.82,1356,Delhi,Bank Transfer,0
TXN100062,362.73,1014,Mumbai,Bank Transfer,0
TXN100063,331.55,84,Nagpur,Online,0
TXN100064,2471.36,620,Aurangabad,ATM,0
TXN100065,4256.66,1054,Hyderabad,POS,0
TXN100066,2516.68,239,Hyderabad,Mobile Payment,1
TXN100067,2991.51,362,Hyderabad,POS,0
TXN100068,1574.41,821,Nagpur,Mobile Payment,0
TXN100069,1483.83,1412,Aurangabad,POS,1
TXN100070,1574.03,667,Hyderabad,POS,0
TXN100071,5105.31,1322,Nagpur,ATM,0
TXN100072,1058.04,1394,Bengaluru,Online,0
TXN100073,5242.97,98,Hyderabad,POS,0
TXN100074,79.86,46,Aurangabad,Bank Transfer,0
TXN100075,2494.65,838,Nagpur,Bank Transfer,0
TXN100076,1196.37,421,Delhi,Bank Transfer,0
TXN100077,813.21,61,Pune,Online,0
TXN100078,1202.02,1132,Nagpur,POS,0
TXN100079,150.27,1142,Pune,Mobile Payment,0
TXN100080,880.36,1009,Pune,Mobile Payment,0
TXN100081,1567.3,597,Mumbai,ATM,0
TXN100082,4807.32,1405,Bengaluru,Online,0
TXN100083,653.1,391,Delhi,POS,0
TXN100084,488.58,976,Pune,Bank Transfer,0
TXN100085,663.97,1075,Nashik,Online,0
TXN100086,2739.15,602,Bengaluru,Online,0
TXN100087,1523.48,1312,Pune,POS,0
TXN100088,645.64,336,Nagpur,ATM,0
TXN100089,1832.19,809,Pune,ATM,0
TXN100090,1208.43,1227,Nagpur,ATM,0
TXN100091,2888.94,1261,Hyderabad,Bank Transfer,0
TXN100092,820.77,1405,Nagpur,Bank Transfer,1
TXN100093,790.24,751,Nashik,POS,0
TXN100094,2815.95,1159,Pune,ATM,1
TXN100095,253.78,1430,Pune,POS,0
TXN100096,1474.57,1385,Aurangabad,ATM,0
TXN100097,1423.76,1404,Bengaluru,Online,0
TXN100098,1102.26,880,Aurangabad,Mobile Payment,0
TXN100099,867.32,634,Mumbai,Mobile Payment,0
TXN100100,266.3,253,Nagpur,ATM,0
TXN100101,720.07,1137,Nashik,POS,0
TXN100102,778.43,19,Aurangabad,Bank Transfer,0
TXN100103,491.63,527,Pune,ATM,0
TXN100104,3449.86,1168,Mumbai,ATM,1
TXN100105,1642.63,1231,Nashik,Bank Transfer,0
TXN100106,7231.39,375,Delhi,ATM,0
TXN100107,1305.81,165,Pune,Online,0
TXN100108,1418.78,1204,Pune,Bank Transfer,0
TXN100109,1017.96,860,Hyderabad,Online,0
TXN100110,160.97,616,Delhi,Mobile Payment,0
TXN100111,1067.94,611,Nagpur,Bank Transfer,0
TXN100112,1164.71,1355,Nagpur,Bank Transfer,0
TXN100113,41793.14,502,Aurangabad,POS,1
TXN100114,904.73,912,Aurangabad,POS,0
TXN100115,1482.59,78,Pune,Bank Transfer,0
TXN100116,1059.22,584,Bengaluru,Mobile Payment,0
TXN100117,340.81,687,Pune,ATM,0
TXN100118,3438.61,395,Aurangabad,POS,0
TXN100119,2326.06,1126,Delhi,Mobile Payment,0
TXN100120,2418.81,401,Aurangabad,Mobile Payment,0
TXN100121,441.69,974,Pune,POS,0
TXN100122,4459.51,223,Nashik,ATM,0
TXN100123,269.93,517,Pune,POS,0
TXN100124,1972.11,633,Nashik,Mobile Payment,0
TXN100125,9803.12,235,Nashik,Online,0
TXN100126,407.26,115,Pune,POS,0
TXN100127,622.47,1186,Bengaluru,Mobile Payment,0
TXN100128,1211.54,225,Bengaluru,POS,0
TXN100129,662.83,229,Mumbai,Mobile Payment,0
TXN100130,232.6,181,Aurangabad,ATM,0
